marker,chr,pos
AX-91417812,5,0
AX-90920445,5,0
AX-91852903,5,0
AX-91641938,5,0
AX-91403918,5,0
AX-90641047,5,0
AX-91424422,5,0
AX-91641949,5,0
AX-90920446,5,0
AX-91641932,5,0
AX-90920434,5,0
AX-91641942,5,0
AX-91641937,5,0
AX-90920420,5,0
AX-90920436,5,0
PZE-105000063,5,0
AX-91641931,5,0
AX-91641948,5,0
AX-90920432,5,0
AX-91641945,5,0
AX-90920443,5,0
AX-91641954,5,0
AX-90920458,5,0
AX-91641962,5,0
AX-91641958,5,0
AX-90920475,5,0
AX-90920461,5,0
AX-91641966,5,0
AX-90920463,5,0
AX-90920462,5,0
AX-91641964,5,0
AX-90920459,5,0
AX-90920449,5,0
AX-91412054,5,0
PZE-105000098,5,0
AX-91412059,5,0
AX-90602322,5,0
AX-91641970,5,0
PZE-105000099,5,0
PZE-105000100,5,0
PZE-105000101,5,0
AX-90920460,5,0
AX-90920468,5,0
PZE-105000102,5,0
PZE-105000103,5,0
AX-91380681,5,0
AX-91388879,5,0
AX-90584206,5,0
PZE-105000112,5,0
AX-91852906,5,0
AX-90920518,5,0
AX-91642010,5,0
AX-90610530,5,0
PZE-105000145,5,0
AX-90920585,5,0
AX-90629791,5,0
AX-90607390,5,0
PZE-105000171,5,0
AX-90920561,5,0
AX-90920576,5,0
AX-91642052,5,0
AX-91642039,5,0
AX-90920577,5,0
AX-90920587,5,0
AX-91642048,5,0
AX-90920572,5,0
AX-91642042,5,0
AX-90920588,5,0
AX-91642047,5,0
AX-91221930,5,0
AX-91642054,5,0
AX-90920563,5,0
AX-90920580,5,0
AX-90627611,5,0
AX-91431600,5,0
AX-91431599,5,0
AX-91642043,5,0
AX-90920570,5,0
AX-90920579,5,0
AX-90920565,5,0
AX-90920564,5,0
AX-90920575,5,0
AX-91432317,5,0
AX-90627359,5,0
AX-91642068,5,0
AX-91852908,5,0
AX-91407042,5,0
AX-91642061,5,0
AX-90629223,5,0
AX-91407050,5,0
AX-91415833,5,0
AX-90617793,5,0
AX-91422242,5,0
PZE-105000247,5,0
AX-91385790,5,0
AX-90604458,5,0
AX-91923902,5,0
AX-91642063,5,0
AX-90920619,5,0
AX-91642074,5,0
AX-91852907,5,0
AX-91452720,5,0
PZE-105000286,5,0
AX-91642070,5,0
AX-90920597,5,0
AX-90920616,5,0
AX-90920613,5,0
AX-90920599,5,0
AX-91642073,5,0
AX-91642065,5,0
AX-90920617,5,0
AX-90920618,5,0
AX-91221934,5,0
AX-90920602,5,0
AX-91221932,5,0
AX-90920604,5,0
AX-91642060,5,0
AX-90920592,5,0
AX-90920596,5,0
SYN5723,5,0
AX-90625303,5,0
AX-91429239,5,0
AX-90920593,5,0
AX-91642057,5,0
AX-91642067,5,0
AX-90920594,5,0
AX-90920595,5,0
AX-90632360,5,0
SYN5726,5,0
AX-90920620,5,0
SYN5722,5,0
AX-90920615,5,0
AX-90920591,5,0
AX-91642064,5,0
AX-90606023,5,0
AX-90920606,5,0
AX-90920610,5,0
AX-90920609,5,0
AX-91642072,5,0
AX-90920634,5,0.414711150383302
AX-90920629,5,0.415508800420319
AX-90920628,5,0.423707400950493
AX-91221938,5,0.426410813650801
AX-90920631,5,0.429503498674564
AX-91423147,5,0.513337950469276
AX-90619067,5,0.514658610560504
AX-90576994,5,0.523057817686815
AX-91642084,5,0.523392162013708
AX-91642078,5,0.523576051393499
AX-91642079,5,0.524182647529434
AX-91428538,5,0.526597091204356
AX-90920647,5,0.526883672055979
AX-91428536,5,0.527227569077926
AX-90611072,5,0.527578630621164
AX-91415282,5,0.527645499486543
AX-90920625,5,0.52782700069257
AX-90920637,5,0.528481360303776
AX-90920641,5,0.529546485802307
SYN5718,5,0.530231891672438
AX-90920624,5,0.530645045733528
AX-90920642,5,0.533912067442027
AX-91642088,5,0.534062522389129
AX-90920653,5,0.534329997850644
AX-91221937,5,0.534427912974948
AX-91642083,5,0.535519308384878
AX-90920654,5,0.535641105246818
AX-90920630,5,0.538829317221121
AX-90599616,5,0.541910061376066
AX-91403967,5,0.541981706588971
AX-90920655,5,0.543276096768801
AX-90920650,5,0.543388340935686
AX-90920635,5,0.544066582284527
AX-90920627,5,0.544697060158097
AX-90920638,5,0.544797363456165
AX-91642082,5,0.545040957180044
AX-90920643,5,0.545131707783058
AX-90920651,5,0.553590619253457
AX-90920652,5,0.553669428987653
AX-90920685,5,0.68383673108389
AX-91381493,5,0.685455269093
AX-91642090,5,0.686392782912484
AX-90920681,5,0.691288197054791
AX-91449956,5,0.692968646353867
AX-90920667,5,0.69412727192323
AX-91642106,5,0.69523725290762
AX-90920677,5,0.696068633087162
AX-91402912,5,0.701140936629372
AX-91441052,5,0.702958475213373
AX-90920678,5,0.704271879007651
AX-91402270,5,0.705700260911865
AX-91642102,5,0.706155751116614
AX-90920682,5,0.711741033918542
AX-91642099,5,0.713063282182815
AX-91642107,5,0.713465705567594
AX-91642105,5,0.71954627868925
AX-90920673,5,0.72056339273869
AX-91642100,5,0.721226727988325
AX-91642103,5,0.722137708397824
AX-90920659,5,0.724003891566798
AX-91426037,5,0.72740016804493
AX-90621965,5,0.72885508335913
AX-90635915,5,0.729332684738867
SYN12358,5,0.731977181267413
AX-90920664,5,0.742754167956485
AX-90920670,5,0.747189669659046
AX-91642095,5,0.747596515278822
AX-91642104,5,0.750081811347455
AX-90920687,5,0.750369256622297
SYN12361,5,0.751510193251669
AX-90920658,5,0.752514040596117
AX-91642091,5,0.765391588909035
SYN12357,5,0.945586212167533
AX-90920671,5,0.945704677468664
AX-91221943,5,0.946434576582085
AX-90638928,5,0.948257413634974
SYN12356,5,0.948356771629471
AX-90920689,5,0.949961785386732
AX-91428992,5,0.950898043411801
AX-91428993,5,0.951345154387038
AX-90647532,5,0.953160348517273
AX-91451327,5,0.953271170895751
PZA02367.1,5,0.953634209721798
SYN12352,5,0.953672424335066
SYN12353,5,0.954539896056252
AX-91437386,5,0.95571690614491
AX-90633438,5,0.956316875573219
AX-90920676,5,0.957983032711709
AX-90606201,5,0.959106542341791
AX-90619542,5,0.960065729134821
SYN12354,5,0.960149801284011
AX-91221944,5,0.962813359828799
AX-91391390,5,1.03243174061433
AX-91391391,5,1.03258959044369
AX-90586658,5,1.03286262798635
AX-90648354,5,1.03509385665529
AX-91452127,5,1.03523037542662
SYN33179,5,1.04080631399317
AX-90920679,5,1.04683020477816
AX-90602583,5,1.04986774744027
AX-91406833,5,1.04998720136519
AX-90602586,5,1.05148890784983
AX-90588500,5,1.05179607508532
AX-91393226,5,1.05335324232082
AX-90920665,5,1.05526450511945
AX-90920683,5,1.05668515358362
AX-91431744,5,1.06684300341297
AX-90920661,5,1.07525597269625
AX-90920657,5,1.07780716723549
SYN33186,5,1.07918088737201
SYN33193,5,1.07920648464164
AX-90636417,5,1.08017064846416
AX-90920663,5,1.08044368600683
AX-91221941,5,1.08058447098976
AX-90920684,5,1.08149744027304
AX-91412693,5,1.08719709897611
AX-90638571,5,1.09161262798635
AX-91442571,5,1.09183020477816
AX-91852911,5,1.09292662116041
AX-91642101,5,1.09387372013652
AX-91421970,5,1.09519624573379
AX-90621773,5,1.09547354948805
PZE-105000613,5,1.09668088737201
AX-91642119,5,1.09909129692833
AX-90920707,5,1.10075511945392
AX-91642117,5,1.10569112627986
AX-90920700,5,1.10795648464164
AX-91642124,5,1.10844283276451
SYN33180,5,1.11413395904437
SYN33185,5,1.11466723549488
SYN33189,5,1.11479948805461
AX-91447782,5,1.11513651877133
AX-90638239,5,1.11655716723549
AX-90638241,5,1.1167747440273
AX-90638240,5,1.11716296928328
SYN33192,5,1.11817832764505
AX-90920691,5,1.11873720136519
SYN33187,5,1.15497866894198
AX-90574871,5,1.15525170648464
SYN33170,5,1.15532423208191
AX-90611063,5,1.15644197952218
AX-90636360,5,1.15686006825939
AX-90920713,5,1.15737627986348
AX-91407124,5,1.15751706484642
AX-90602870,5,1.15764931740614
AX-91434853,5,1.15877986348123
AX-90920715,5,1.1590614334471
AX-91417084,5,1.15946245733788
AX-90583262,5,1.16074232081911
AX-90583264,5,1.16091723549488
AX-90645682,5,1.16968003412969
AX-90578553,5,1.17267064846416
AX-90610963,5,1.17359641638225
AX-90626143,5,1.17655290102389
AX-91430109,5,1.17663822525597
AX-91430110,5,1.17680460750853
AX-90584340,5,1.17755972696246
AX-91382516,5,1.17779863481229
AX-90612174,5,1.17794795221843
AX-90920692,5,1.17868600682594
AX-91221948,5,1.17952645051195
AX-90609792,5,1.18227389078498
AX-90623726,5,1.18306740614334
AX-91427722,5,1.18383532423208
AX-91422365,5,1.18990187713311
AX-90618271,5,1.19003839590444
AX-91413615,5,1.20037645174209
AX-90920720,5,1.20089707649179
AX-91642121,5,1.20282338806568
AX-90920717,5,1.20431718061674
AX-90920697,5,1.20638366039247
AX-91642125,5,1.20700440528634
AX-91642116,5,1.20906688025631
AX-91642126,5,1.20931517821386
AX-91852912,5,1.21458149779736
AX-91642128,5,1.22206647977573
AX-90920710,5,1.23839807769323
AX-91642115,5,1.2394072887465
AX-90920721,5,1.25568281938326
PUT-163a-71762647-3464,5,1.25855426511814
PUT-163a-71762647-3463,5,1.25878654385262
AX-91642122,5,1.26045654785743
AX-90920694,5,1.26985182218662
AX-90920712,5,1.27079695634762
AX-91642123,5,1.271065278334
AX-91444367,5,1.2800120144173
AX-90640328,5,1.28012815378454
AX-90640327,5,1.28084901882259
AX-91383696,5,1.28094513416099
AX-91383697,5,1.28116139367241
AX-91407199,5,1.28146175410493
AX-91221949,5,1.28246696035242
AX-90920711,5,1.28340008009612
AX-91642109,5,1.28436924309171
AX-90920704,5,1.28547056467761
SYNGENTA4206,5,1.28665598718462
AX-90920693,5,1.28939527432919
AX-90920698,5,1.29112134561474
AX-91642110,5,1.29175810973168
SYN33176,5,1.29207448938726
AX-90920709,5,1.29227072486984
AX-90634281,5,1.29258710452543
AX-91437570,5,1.29291149379255
AX-91438242,5,1.29306768121746
AX-90600698,5,1.29527032438927
AX-91385006,5,1.29533039647577
AX-91642120,5,1.29569483380056
AX-90920701,5,1.2968762515018
AX-90920719,5,1.29778534241089
AX-90575705,5,1.29803364036844
AX-91380587,5,1.29819383259912
AX-91380586,5,1.29835802963556
AX-91200280,5,1.31694433319984
AX-91642113,5,1.32617941529836
AX-90920714,5,1.3299879855827
AX-90920744,5,1.59940620009009
AX-90920743,5,1.59956591179
AX-90920722,5,1.60004101680664
AX-91642140,5,1.6045815773013
AX-90920741,5,1.60938054367777
AX-91221950,5,1.61136575711898
AX-90920725,5,1.61217788989038
