marker,chr,pos
AX-90649662,1,0
AX-90649663,1,0
SYN83,1,0
AX-90649678,1,0
AX-91453449,1,0
AX-91437286,1,0
AX-90633390,1,0
AX-90649677,1,0
AX-90649671,1,0
AX-91453460,1,0
AX-91453454,1,0
AX-91453448,1,0
AX-91453462,1,0
AX-90649688,1,0
AX-90649690,1,0
AX-91453463,1,0
AX-90649669,1,0
AX-90649674,1,0
AX-90649664,1,0
AX-91453453,1,0
AX-90649684,1,0
AX-90649683,1,0
AX-90649686,1,0
AX-91453451,1,0
AX-90649708,1,0
AX-90649719,1,0
AX-91453474,1,0
AX-90649714,1,0
AX-90649712,1,0
AX-90649696,1,0
AX-90649697,1,0
AX-90649717,1,0
AX-91453467,1,0
AX-90649713,1,0
AX-91453466,1,0
AX-91453471,1,0
AX-90649692,1,0
AX-91453465,1,0
AX-90649707,1,0
AX-91453478,1,0
AX-90649698,1,0
AX-90649699,1,0
AX-91453470,1,0
AX-91453468,1,0
AX-91392548,1,0
AX-90610382,1,0
AX-90649693,1,0
AX-90585505,1,0
AX-91453479,1,0
AX-90649716,1,0
AX-91453469,1,0
AX-90649715,1,0
PZE-101000060,1,0
AX-90649705,1,0
AX-90649721,1,0
AX-90649703,1,0
AX-90649718,1,0
AX-90649747,1,0
AX-90649734,1,0
AX-90649726,1,0
AX-90649745,1,0
AX-90649773,1,0
PZE-101000161,1,0
AX-91453507,1,0
AX-91453502,1,0
AX-91453510,1,0
AX-91453486,1,0
AX-91453487,1,0
AX-90649753,1,0
AX-90649727,1,0
AX-91453494,1,0
AX-90649735,1,0
PZE-101000111,1,0
PZE-101000108,1,0
AX-90649737,1,0
AX-90649738,1,0
AX-90649784,1,0.656710254645561
AX-90649772,1,0.656968186355661
AX-90649774,1,0.669946615576347
AX-90649771,1,0.675097809440549
AX-90649779,1,0.675504547906475
AX-90649758,1,0.676340345851702
AX-90649775,1,0.696377175523769
PZE-101000169,1,0.701218355313331
AX-90649785,1,0.722081062480237
AX-90649763,1,0.723817141298215
AX-90649762,1,0.725783870587725
AX-90649761,1,0.725972359145105
AX-90649760,1,0.730478723734058
AX-90649778,1,0.73487348325614
AX-90649759,1,0.735183497330779
AX-91453497,1,0.735545593769957
AX-90649780,1,0.750111295052795
AX-90649766,1,0.752467402020052
AX-90649783,1,0.754014992280649
AX-90649796,1,0.757440027777261
AX-90649795,1,0.762117520135414
AX-91453515,1,0.76315172708841
AX-90649792,1,0.960030505384944
PZE-101000256,1,0.97422915000341
AX-91453531,1,1.04740824392998
AX-90649813,1,1.0517701863354
AX-91407212,1,1.06361095426313
AX-90602958,1,1.0649604743083
AX-91453533,1,1.06630717108978
AX-90649820,1,1.06723037831733
AX-90649819,1,1.07092320722755
AX-90649816,1,1.07231789949181
AX-91453532,1,1.08568040654997
AX-91453534,1,1.08612083568605
AX-90649815,1,1.09327498588368
PZE-101000301,1,1.29849146182709
AX-91840288,1,1.30177983437804
AX-90649822,1,1.32477218776323
AX-91453547,1,1.32551825232735
AX-91453541,1,1.32754859812062
AX-91453553,1,1.3313161147758
AX-91453538,1,1.33399844661044
AX-91453549,1,1.3359587804798
AX-90649832,1,1.33773095730367
AX-91202982,1,1.3384682703773
AX-91453536,1,1.3395096977454
AX-91453555,1,1.36589981731264
AX-91453545,1,1.36965858247733
AX-91840286,1,1.37175456444926
AX-90649848,1,1.37669259295724
AX-90649834,1,1.37755242689771
AX-90649833,1,1.37812783739731
AX-90649835,1,1.37836631551311
AX-91423334,1,1.37947556693249
AX-90649830,1,1.38212070493256
AX-90649846,1,1.3834246770153
AX-91453551,1,1.38470677037183
AX-91453550,1,1.38497587870434
AX-90649847,1,1.3931650859287
PZE-101000344,1,1.4000861314477
AX-91453546,1,1.40413430948974
AX-91453544,1,1.40435380575969
AX-90649837,1,1.40447883528055
AX-91453548,1,1.41620104746954
AX-90649842,1,1.41633163385799
PZE-101000348,1,1.43218259866913
PZE-101000349,1,1.43410805329036
AX-90649843,1,1.43746717975077
AX-90649841,1,1.43892030062654
AX-90649831,1,1.43934262256366
AX-91840287,1,1.48310573329814
AX-90649866,1,1.49652279010322
AX-91453556,1,1.49681174721809
AX-91453557,1,1.49692288456997
AX-91453560,1,1.50829501410055
AX-90649857,1,1.51156245224567
AX-90649855,1,1.51217092924718
AX-91453562,1,1.51225428226109
AX-90649853,1,1.51236264117917
AX-91453568,1,1.51456593918008
AX-90649867,1,1.51477987858244
AX-90649859,1,1.51519386521818
AX-90649858,1,1.51683036272453
AX-90649865,1,1.51694150007641
AX-90649856,1,1.64149510763209
AX-90649849,1,1.64227788649706
AX-91453558,1,1.64276842791911
AX-91453564,1,1.64345727332029
PZE-101000360,1,1.64604305283757
AX-90649851,1,1.64623091976517
AX-91453566,1,1.64739726027397
AX-91453567,1,1.66043313763862
PZE-101000370,1,1.80509762053774
AX-90649897,1,1.83155272490766
AX-90649871,1,1.83955380480801
