marker,chr,pos
AX-90978173,6,8
AX-91681989,6,8
AX-90978172,6,8
AX-90978187,6,8
AX-90978180,6,8
AX-90978176,6,8
AX-90978190,6,8
AX-90978191,6,8
AX-90978193,6,8
AX-90978194,6,8
AX-90978228,6,8
AX-91681998,6,8
AX-90978199,6,8
AX-91681999,6,8
AX-90978221,6,8
AX-90978218,6,8
AX-90978219,6,8
AX-90978213,6,8
AX-90978211,6,8
AX-90978207,6,8
AX-90978227,6,8
AX-91384742,6,8
AX-91389283,6,8
AX-90978217,6,8
AX-91436196,6,8
AX-91424746,6,8
AX-91410059,6,8
AX-91424760,6,8
AX-91436197,6,8
AX-90585169,6,8
AX-90605904,6,8
AX-90978202,6,8
AX-90978201,6,8
AX-90978206,6,8
AX-90978204,6,8
AX-90978203,6,8
AX-91682005,6,8
PZE-106000007,6,8
AX-90978214,6,8
AX-91682003,6,8
AX-90978215,6,8
AX-90978209,6,8
AX-90978210,6,8
AX-90978223,6,8
AX-91682011,6,8
PZE-106000082,6,8
AX-90978255,6,8
AX-91682034,6,8
AX-91682032,6,8
AX-90978232,6,8
AX-90978231,6,8
AX-90978241,6,8
AX-90978234,6,8
AX-90978235,6,8
AX-91432330,6,8
AX-90978236,6,8
AX-91682029,6,8
PZE-106000078,6,8
PZE-106000077,6,8
AX-91682016,6,8
AX-91682035,6,8
AX-90978239,6,8
AX-91682023,6,8
AX-90978240,6,8
PZE-106000068,6,8
AX-90978250,6,8
PZE-106000060,6,8
AX-90978257,6,8
AX-90978277,6,8
AX-91682046,6,8
AX-91855450,6,8
AX-91682053,6,8
AX-91682052,6,8
AX-91225896,6,8
AX-91682043,6,8
AX-90978268,6,8
AX-91682042,6,8
AX-90978264,6,8
PZE-106000093,6,8
AX-90978256,6,8
AX-91682049,6,8
AX-90978286,6,8
AX-90978287,6,8
AX-91428043,6,8
AX-90624067,6,8
PZE-106000103,6,8
AX-91426228,6,8
AX-91682036,6,8
AX-90978258,6,8
AX-91682040,6,8
PZE-106000108,6,8
AX-90574895,6,8
AX-90612475,6,8
PZE-106000110,6,8
AX-90612476,6,8
AX-91416650,6,8
PZE-106000112,6,8
AX-90978276,6,8
AX-90978270,6,8
AX-91444369,6,8
PZE-106000113,6,8
PZE-106000114,6,8
AX-90592696,6,8
AX-91438753,6,8
AX-90978271,6,8
AX-90978272,6,8
PZE-106000115,6,8
PZE-106000117,6,8
AX-90978284,6,8
AX-90978259,6,8
AX-91451805,6,8
AX-91225895,6,8
SYN33844,6,8
SYN33848,6,8
PZE-106000130,6,8
AX-90978279,6,8
AX-90978283,6,8
AX-90631049,6,8
AX-90574438,6,8
AX-91682039,6,8
AX-90978266,6,8
AX-91225894,6,8
AX-90978265,6,8
AX-91421598,6,8
PZE-106000131,6,8
AX-91429045,6,8
AX-91225897,6,8
AX-90978282,6,8
AX-90574593,6,8
AX-91682038,6,8
PZE-106000136,6,8
PZE-106000137,6,8
AX-90978269,6,8
AX-90978280,6,8
AX-90978281,6,8
AX-91682075,6,8
AX-90978302,6,8
AX-91682073,6,8
AX-91682060,6,8
AX-91682061,6,8
AX-90978294,6,8
AX-90978305,6,8
AX-91682064,6,8
AX-90978293,6,8
AX-91682056,6,8
AX-91682078,6,8
AX-90978313,6,8
AX-90978312,6,8
AX-91682076,6,8
AX-91682057,6,8
AX-90978307,6,8
AX-90978308,6,8
AX-90978297,6,8
AX-90978292,6,8
AX-91682065,6,8
AX-90978295,6,8
AX-90978306,6,8
AX-90978310,6,8
AX-91682058,6,8
AX-91682074,6,8
AX-90978309,6,8
AX-91682072,6,8
AX-91682059,6,8
AX-91682071,6,8
PZE-106000150,6,8
PZE-106000160,6,8
AX-91682066,6,8
AX-90978304,6,8
AX-90620941,6,8
AX-91386888,6,8
AX-91225901,6,8
AX-90978350,6,8
AX-90978359,6,8
AX-91682099,6,8
AX-90978368,6,8
AX-91682108,6,8
AX-90978355,6,8
AX-91855451,6,8
AX-90978354,6,8
AX-90978349,6,8
AX-90978360,6,8
AX-91682115,6,8
AX-91682107,6,8
AX-90978352,6,8
AX-91855453,6,8
AX-91225900,6,8
AX-90978346,6,8
PZE-106000233,6,8
AX-91682120,6,8
PZE-106000242,6,8
AX-91682111,6,8
