marker,chr,pos
AX-91115509,9,1
AX-91115510,9,1
AX-91115511,9,1
AX-91115503,9,1
PZE-109000294,9,1
AX-91778175,9,1
AX-91115505,9,1
AX-91115506,9,1
AX-91115496,9,1
AX-91778166,9,1
AX-91115508,9,1
AX-91115522,9,1
PZE-109000280,9,1
AX-91434970,9,1
PZE-109000269,9,1
AX-91115541,9,1
AX-90645021,9,1
AX-91410121,9,1
AX-90645020,9,1
AX-91778190,9,1
AX-91115536,9,1
AX-91778191,9,1
AX-91778193,9,1
AX-91778186,9,1
AX-91115520,9,1
AX-91778196,9,1
AX-91778194,9,1
AX-91778192,9,1
AX-91115518,9,1
AX-91115515,9,1
AX-91778183,9,1
AX-91778187,9,1
AX-91115530,9,1
AX-91115523,9,1
AX-91115542,9,1
AX-91115528,9,1
AX-91778182,9,1
AX-91115514,9,1
AX-91115513,9,1
AX-91925086,9,1
AX-91115517,9,1
AX-91115525,9,1
AX-91778195,9,1
AX-91115576,9,1
AX-91778206,9,1
PZE-109000243,9,1
PZE-109000237,9,1
AX-91115549,9,1
AX-91115551,9,1
AX-91778216,9,1
AX-91115559,9,1
AX-91115566,9,1
AX-91778203,9,1
AX-91115555,9,1
AX-91115554,9,1
AX-91115550,9,1
AX-91778211,9,1
AX-91778202,9,1
AX-91115553,9,1
AX-91778199,9,1
PZE-109000187,9,1
AX-91778215,9,1
AX-91115583,9,1
AX-91778220,9,1
AX-91778230,9,1
AX-91778231,9,1
AX-91115582,9,1
AX-91115591,9,1
AX-91115590,9,1
AX-91115596,9,1
AX-91778233,9,1
PZE-109000173,9,1
PZE-109000143,9,1
AX-90638830,9,1
AX-91381670,9,1
AX-91115595,9,1
PZE-109000128,9,1
PZE-109000127,9,1
AX-91115592,9,1
AX-91390445,9,1
AX-90581004,9,1
AX-91410244,9,1
AX-91390676,9,1
AX-91380906,9,1
AX-91115603,9,1
AX-91115579,9,1
AX-91115585,9,1
AX-91115577,9,1
AX-91115578,9,1
AX-91778218,9,1
AX-91115604,9,1
AX-91778225,9,1
AX-91115588,9,1
AX-91778229,9,1
AX-91778232,9,1
AX-91778221,9,1
AX-91778223,9,1
AX-91115581,9,1
AX-91778224,9,1
AX-91115600,9,1
AX-91115599,9,1
PZE-109000105,9,1
AX-91115628,9,1
AX-91115627,9,1
AX-91778258,9,1
AX-91115630,9,1
AX-91778247,9,1
AX-91115618,9,1
AX-91778248,9,1
AX-91115616,9,1
AX-91115609,9,1
AX-91115608,9,1
AX-91778239,9,1
AX-91778255,9,1
AX-91115617,9,1
AX-91115615,9,1
AX-91778246,9,1
AX-91115619,9,1
AX-91778257,9,1
AX-91115605,9,1
AX-91115606,9,1
AX-91778240,9,1
AX-91115621,9,1
AX-91115610,9,1
AX-91778238,9,1
AX-91115622,9,1
AX-91115614,9,1
AX-91115626,9,1
AX-91778242,9,1
AX-91778241,9,1
AX-91778252,9,1
AX-91115624,9,1
AX-91115625,9,1
AX-91778253,9,1
AX-91115637,9,1
AX-91778267,9,1
AX-91778268,9,1
AX-91778271,9,1
AX-91115638,9,1
AX-91115650,9,1
AX-91115649,9,1
AX-91778274,9,1
AX-91115652,9,1
AX-91778275,9,1
PZE-109000065,9,1
AX-91115646,9,1
AX-91778265,9,1
AX-91115641,9,1
AX-91778272,9,1
AX-91115632,9,1
AX-91115655,9,1
AX-91115653,9,1
AX-91778276,9,1
AX-90583123,9,1
AX-91387892,9,1
AX-91778259,9,1
AX-91115636,9,1
AX-91115648,9,1
AX-91115643,9,1
AX-91115644,9,1
AX-91778269,9,1
AX-91115685,9,1
PZE-109000029,9,1
AX-91115661,9,1
AX-91778293,9,1
AX-91115674,9,1
AX-91778290,9,1
AX-91115697,9,1
AX-91115691,9,1
AX-91778300,9,1
AX-91115695,9,1
AX-91115700,9,1
AX-91115686,9,1
AX-91778302,9,1
AX-91115675,9,1
AX-91115693,9,1
AX-91115694,9,1
AX-91115673,9,1
AX-91778291,9,1
AX-91115684,9,1
AX-91778294,9,1
AX-91778292,9,1
PZE-109000014,9,1
AX-91778328,9,1
PZE-109000443,9,1
PZE-109000440,9,1
AX-91115714,9,1
AX-91115705,9,1
AX-91778304,9,1
AX-91115704,9,1
SYN37326,9,1
AX-90615995,9,1
AX-91115726,9,1
AX-90629931,9,1
SYN37327,9,1
AX-91447859,9,1
SYN37324,9,1
AX-91778309,9,1
AX-91778321,9,1
AX-91778306,9,1
AX-90609402,9,1
AX-91115708,9,1
AX-91115709,9,1
AX-91439826,9,1
SYN37323,9,1
AX-91388465,9,1
AX-91778317,9,1
AX-91115725,9,1
AX-90582734,9,1
PZE-109000394,9,1
AX-91778326,9,1
AX-91389215,9,1
AX-91115711,9,1
AX-91115710,9,1
PZE-109000385,9,1
AX-91778296,9,1
AX-91115703,9,1
AX-91778312,9,1
AX-91778322,9,1.005
AX-91925087,9,1.006
AX-91115723,9,1.006
AX-91115721,9,1.007
AX-91778313,9,1.009
AX-91778327,9,1.009
AX-91115717,9,1.01
AX-91115719,9,1.01
AX-91115706,9,1.01
PZE-109000486,9,1.013
AX-91778319,9,1.014
AX-91115728,9,1.019
AX-91115738,9,1.072
PZE-109000553,9,1.184
AX-91115749,9,1.184
AX-91778337,9,1.212
AX-91778345,9,1.213
AX-91115750,9,1.214
AX-91778339,9,1.215
AX-90580537,9,1.217
PZE-109000575,9,1.23
AX-91115748,9,1.23
AX-91115746,9,1.23
AX-91778335,9,1.231
AX-91778336,9,1.231
PZE-109000593,9,1.325
AX-91115790,9,1.337
AX-91778361,9,1.471
AX-91115786,9,1.479
PZE-109000643,9,1.483
PZE-109000639,9,1.484
AX-91115789,9,1.487
AX-91115769,9,1.49
AX-91115784,9,1.491
PZE-109000616,9,1.507
AX-91778359,9,1.508
AX-91115775,9,1.508
AX-91115764,9,1.524
AX-91115776,9,1.527
AX-91778354,9,1.527
AX-91778363,9,1.529
AX-91115781,9,1.538
AX-91115788,9,1.644
PZE-109000682,9,1.728
AX-91778371,9,1.731
AX-91115806,9,1.823
AX-91115808,9,1.823
AX-91115793,9,1.823
AX-91115791,9,1.823
AX-91115803,9,1.823
AX-91115805,9,1.825
AX-91778374,9,1.826
PZE-109000707,9,1.826
AX-91115818,9,1.832
AX-91115815,9,1.833
AX-91115802,9,1.833
AX-91778380,9,1.833
AX-91115794,9,1.842
SYN21732,9,1.843
AX-90577734,9,1.843
AX-91115824,9,1.844
SYN21737,9,1.845
AX-91778373,9,1.845
AX-90606320,9,1.846
SYN21739,9,1.846
AX-90587594,9,1.847
AX-90598441,9,1.851
AX-91403377,9,1.851
SYN21736,9,1.851
AX-90648766,9,1.851
AX-91403379,9,1.852
SYN21745,9,1.852
PZE-109000860,9,1.852
AX-90581514,9,1.852
AX-90613074,9,1.852
AX-90613075,9,1.852
AX-91115812,9,1.853
AX-91115796,9,1.853
SYN21738,9,1.853
AX-91444198,9,1.853
AX-90585046,9,1.853
AX-91115813,9,1.854
AX-91115795,9,1.854
AX-91452801,9,1.854
AX-90649085,9,1.854
AX-91391107,9,1.854
