chrom	start	end	B73_inra	A632_usa	CO255_inra	FV252_inra	OH43_inra	A654_inra	FV2_inra	C103_inra	EP1_inra	D105_inra	W117_inra	B96	DK63	F492	ND245	VA85	n_haps
1	48208	83134	1	2	3	4	5	6	7	8	9	10	11	12	13	14	13	15	15
1	83134	222469	1	2	3	4	5	6	7	8	9	10	11	6	12	13	12	14	14
1	222469	402887	1	2	3	4	5	6	7	8	3	9	10	6	11	12	11	13	13
1	402887	692904	1	2	3	4	1	5	6	7	3	8	9	5	10	11	10	12	12
1	692904	1033872	1	2	3	4	1	5	6	7	3	8	9	10	11	12	11	13	13
1	1033872	1039304	1	2	3	4	1	5	6	7	3	8	9	10	11	12	13	14	14
1	1039304	1220089	1	2	3	4	1	5	6	7	3	8	9	10	11	12	11	13	13
1	1220089	1232375	1	2	3	4	1	5	6	7	3	8	9	10	11	7	11	12	12
1	1232375	1612444	1	2	3	4	1	5	6	5	3	7	8	9	10	5	10	11	11
1	1612444	1687432	1	2	3	4	1	5	6	7	3	8	9	10	11	7	11	12	12
1	1687432	1698932	1	2	3	4	5	6	7	8	3	9	10	11	12	8	12	13	13
1	1698932	1715346	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	1715346	1716950	1	2	3	4	5	6	7	8	3	9	10	11	1	12	13	14	14
1	1716950	1838392	1	2	3	4	5	6	7	8	3	9	3	10	1	11	12	13	13
1	1838392	1995248	1	1	2	3	4	5	6	7	2	8	2	9	1	10	11	12	12
1	1995248	2017526	1	1	2	3	4	5	6	7	2	8	2	9	10	11	12	13	13
1	2017526	2750059	1	1	2	3	4	5	6	7	2	8	9	10	11	12	13	14	14
1	2750059	3178710	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	3178710	3225079	1	2	3	4	5	6	7	8	3	9	10	3	11	12	13	14	14
1	3225079	3288161	1	2	3	4	5	6	7	6	3	8	9	3	10	11	12	13	13
1	3288161	3374542	1	2	3	4	5	6	7	6	3	8	9	3	10	11	3	4	11
1	3374542	3377606	1	2	3	4	5	6	7	6	3	8	9	10	11	12	10	4	12
1	3377606	3439318	1	2	3	4	5	6	7	8	3	9	10	11	12	13	11	4	13
1	3439318	3445153	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	4	14
1	3445153	3548043	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	3548043	3573008	1	2	3	4	5	6	7	8	3	9	1	10	11	12	13	14	14
1	3573008	3574889	1	2	3	1	4	5	6	7	3	8	1	9	10	11	12	13	13
1	3574889	3774608	1	2	3	1	4	5	6	7	3	8	1	9	10	11	7	12	12
1	3774608	3775407	1	2	3	1	4	5	6	7	3	8	1	9	10	11	12	13	13
1	3775407	3775881	1	2	3	1	4	5	6	7	3	8	9	10	11	12	13	14	14
1	3775881	3782777	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	3782777	3852760	1	2	3	4	5	6	7	8	3	2	9	10	11	12	13	14	14
1	3852760	3966873	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	3966873	4283893	1	2	3	1	4	5	6	7	3	8	9	10	11	12	13	14	14
1	4283893	5203293	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	5203293	5206540	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	5206540	5520987	1	2	3	4	5	6	7	8	3	9	6	10	11	12	13	5	13
1	5520987	5523286	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	5523286	5610769	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	5	15
1	5610769	5703502	1	2	3	4	5	6	7	8	9	10	11	12	13	1	14	5	14
1	5703502	5714577	1	2	3	4	5	6	7	8	9	10	11	12	13	1	14	15	15
1	5714577	5819130	1	2	3	4	5	6	7	8	9	9	10	11	12	1	13	14	14
1	5819130	5819298	1	2	3	4	1	5	6	7	8	8	9	10	11	1	12	13	13
1	5819298	5819415	1	2	3	4	1	1	5	6	7	7	8	9	10	1	11	12	12
1	5819415	5884952	1	2	3	4	1	1	5	6	7	7	8	9	10	11	12	13	13
1	5884952	5904647	1	2	3	4	1	1	5	6	7	8	9	10	11	12	13	14	14
1	5904647	5905678	1	2	3	4	1	1	5	6	7	8	9	10	8	11	12	13	13
1	5905678	5906754	1	2	3	4	1	1	5	1	6	7	8	9	7	10	11	12	12
1	5906754	6033452	1	2	3	4	1	1	5	1	3	6	7	8	6	9	10	11	11
1	6033452	6160568	1	2	3	4	5	1	6	5	3	7	8	9	7	10	11	12	12
1	6160568	6235857	1	2	3	4	5	1	6	5	3	7	8	9	7	10	4	11	11
1	6235857	6240014	1	2	3	4	5	6	7	5	3	8	9	10	8	11	4	12	12
1	6240014	6275369	1	2	3	4	5	6	7	8	3	9	10	11	9	12	4	13	13
1	6275369	6319786	1	2	3	4	5	6	7	8	9	10	11	12	10	13	4	14	14
1	6319786	6407046	1	2	3	4	5	6	7	8	9	10	11	12	13	14	4	15	15
1	6407046	6527200	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	16
1	6527200	6532815	1	2	3	4	5	6	7	8	9	10	11	12	2	13	14	15	15
1	6532815	6765669	1	2	3	4	5	6	7	8	3	9	10	11	2	12	13	14	14
1	6765669	7035633	1	2	3	4	5	6	7	8	3	9	10	11	2	12	13	8	13
1	7035633	7105587	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	8	14
1	7105587	7354386	1	2	3	4	5	6	7	8	3	9	10	11	12	13	10	8	13
1	7354386	7389388	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	8	14
1	7389388	7563961	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	7563961	7565739	1	2	3	4	5	6	7	8	3	1	9	10	11	12	13	14	14
1	7565739	7598221	1	2	3	4	5	6	7	8	3	1	9	10	11	12	2	13	13
1	7598221	7714367	1	2	1	3	4	5	6	7	1	1	8	9	10	11	2	12	12
1	7714367	7716516	1	2	1	3	4	5	6	7	1	1	8	9	10	11	2	4	11
1	7716516	7882777	1	2	1	3	4	5	6	7	1	1	8	9	3	10	2	4	10
1	7882777	7970667	1	2	1	3	4	5	6	7	1	1	8	9	3	10	11	4	11
1	7970667	7976775	1	2	3	4	5	6	7	8	3	1	9	10	4	11	12	5	12
1	7976775	7978132	1	2	3	4	5	6	7	8	3	1	9	10	11	12	13	5	13
1	7978132	7988846	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	7988846	8016497	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	5	15
1	8016497	8775869	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	16
1	8775869	9116599	1	2	3	4	5	6	7	8	9	10	11	12	13	6	14	15	15
1	9116599	9269565	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	16
1	9269565	9353646	1	2	3	2	4	5	6	7	8	9	10	11	12	13	14	15	15
1	9353646	9454789	1	2	3	2	4	4	5	6	7	8	9	10	11	12	13	14	14
1	9454789	9490703	1	2	3	2	4	5	6	7	8	9	10	11	12	13	14	15	15
1	9490703	9490709	1	2	3	2	4	5	6	7	8	9	4	10	11	12	13	2	13
1	9490709	9491183	1	2	3	4	5	6	7	5	8	9	5	10	11	12	13	2	13
1	9491183	9876798	1	2	3	4	4	5	6	4	7	8	4	9	10	11	12	2	12
1	9876798	9885046	1	2	3	4	5	6	7	4	8	9	4	10	11	12	13	14	14
1	9885046	9885923	1	2	3	4	5	6	7	4	8	6	4	9	10	11	12	13	13
1	9885923	10109433	1	2	3	4	5	6	7	8	9	6	4	10	11	12	13	14	14
1	10109433	10110016	1	2	3	4	1	5	6	7	8	5	4	9	10	11	12	13	13
1	10110016	10257811	1	2	3	4	1	3	5	6	7	3	8	9	10	11	12	13	13
1	10257811	10616645	1	2	3	4	1	3	5	6	7	3	1	8	9	10	11	12	12
1	10616645	10619772	1	2	3	4	5	3	6	7	8	3	1	9	10	11	12	13	13
1	10619772	10621818	1	2	3	4	5	6	7	8	9	3	1	10	11	12	13	14	14
1	10621818	10982818	1	2	3	4	5	6	7	8	9	3	10	11	12	13	14	15	15
1	10982818	10992832	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	16
1	10992832	11041869	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	11041869	11325376	1	2	3	4	5	1	6	7	3	8	9	10	11	12	13	14	14
1	11325376	11668122	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	11668122	11669677	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	2	14
1	11669677	11670223	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	2	15
1	11670223	12182061	1	2	3	4	5	6	7	8	9	10	2	11	12	13	14	2	14
1	12182061	12293012	1	2	3	4	5	6	7	8	3	9	2	10	11	12	13	2	13
1	12293012	12354889	1	2	3	4	5	6	7	8	3	9	2	10	11	12	13	14	14
1	12354889	12631179	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	15	15
1	12631179	12681612	1	2	3	4	5	6	7	8	3	9	10	11	12	11	13	5	13
1	12681612	12847631	1	2	3	4	5	6	7	8	3	9	10	11	12	11	12	5	12
1	12847631	12854619	1	2	3	2	4	5	6	7	3	8	9	10	11	10	11	4	11
1	12854619	12992991	1	2	3	2	4	5	6	7	3	8	9	10	11	12	11	13	13
1	12992991	13002698	1	2	3	2	4	5	6	7	3	8	9	10	11	12	11	4	12
1	13002698	13053862	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	13053862	13106013	1	2	3	4	5	1	6	7	3	8	9	10	11	12	13	5	13
1	13106013	13338726	1	2	3	4	5	1	6	7	3	8	9	10	9	11	12	5	12
1	13338726	13483956	1	2	3	4	5	1	6	7	3	8	9	10	11	12	13	5	13
1	13483956	13864423	1	2	3	2	4	1	5	6	3	7	8	9	10	11	12	4	12
1	13864423	13868623	1	2	3	4	5	1	6	7	3	8	9	10	11	12	13	5	13
1	13868623	13905651	1	2	3	4	5	1	6	7	8	9	10	11	12	13	14	5	14
1	13905651	14256286	1	2	3	4	5	1	6	7	3	8	9	10	11	12	13	5	13
1	14256286	14320540	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	14320540	14359261	1	1	2	3	4	5	6	7	2	8	9	10	11	12	13	4	13
1	14359261	14363847	1	1	2	3	4	5	6	7	2	8	5	9	10	11	12	4	12
1	14363847	14365270	1	1	2	3	4	5	6	7	2	8	5	9	10	10	11	4	11
1	14365270	14580817	1	1	2	1	3	4	5	6	2	7	4	8	9	9	10	3	10
1	14580817	14652328	1	1	2	1	3	4	5	6	2	7	8	9	10	10	11	3	11
1	14652328	14656438	1	1	2	1	3	4	5	6	2	7	8	9	10	11	12	3	12
1	14656438	15194194	1	1	2	3	4	5	6	7	2	8	9	10	11	12	13	4	13
1	15194194	15402623	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	15402623	15403410	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	5	15
1	15403410	15410945	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	15410945	15754435	1	2	3	4	5	6	7	8	3	9	2	10	11	12	13	5	13
1	15754435	16233650	1	2	3	4	5	6	7	8	3	9	10	11	12	13	12	5	13
1	16233650	16279988	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	5	14
1	16279988	16298803	1	1	2	3	4	5	6	7	2	8	9	10	11	12	13	4	13
1	16298803	16814940	1	1	2	3	4	5	6	7	2	8	9	10	1	11	12	4	12
1	16814940	16841320	1	1	2	3	4	5	6	7	2	8	9	10	1	11	12	13	13
1	16841320	17149038	1	1	2	3	4	5	6	7	2	8	9	10	1	11	12	5	12
1	17149038	17193060	1	1	2	3	4	5	6	7	2	8	9	10	11	12	13	5	13
1	17193060	17309714	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	5	14
1	17309714	17363810	1	1	2	3	4	5	6	7	2	8	9	10	11	12	13	5	13
1	17363810	17365635	1	1	2	3	4	5	6	7	2	8	5	9	10	11	12	5	12
1	17365635	17841640	1	1	2	3	4	5	6	7	2	6	5	8	9	10	11	5	11
1	17841640	17930387	1	1	2	3	4	5	6	7	2	8	5	9	10	11	12	5	12
1	17930387	17947021	1	2	3	4	5	6	7	8	3	9	6	10	11	12	13	6	13
1	17947021	17999107	1	2	3	4	5	6	7	8	3	9	10	11	12	13	14	6	14
