chrom	start	end	B73_inra	A632_usa	CO255_inra	FV252_inra	OH43_inra	A654_inra	FV2_inra	C103_inra	EP1_inra	D105_inra	W117_inra	B96	DK63	F492	ND245	VA85	n_haps
2	37549	730407	1	2	2	2	3	4	5	6	7	8	4	9	10	11	5	12	12
2	730407	736438	1	2	2	2	3	4	5	6	7	8	9	10	11	12	5	13	13
2	736438	738995	1	2	2	2	3	4	5	6	7	8	4	9	10	11	5	12	12
2	738995	739523	1	2	2	2	3	4	5	6	2	7	4	8	9	10	11	12	12
2	739523	741881	1	2	2	3	4	5	6	7	2	8	5	9	10	11	12	13	13
2	741881	831616	1	2	2	3	4	5	6	7	2	8	5	9	10	11	12	1	12
2	831616	895987	1	2	2	3	4	5	6	7	2	8	5	8	9	10	11	1	11
2	895987	924387	1	2	2	3	4	5	6	7	2	8	5	8	1	9	10	1	10
2	924387	1017884	1	2	2	3	4	5	6	7	2	8	5	8	1	9	10	11	11
2	1017884	1025468	1	2	3	4	5	6	7	8	2	9	6	9	1	10	11	12	12
2	1025468	1166774	1	2	3	4	5	6	7	8	2	9	6	10	1	11	12	13	13
2	1166774	1259659	1	2	3	4	5	6	7	8	9	10	6	11	1	12	13	14	14
2	1259659	1259935	1	2	3	4	5	6	7	5	8	9	6	10	1	11	12	13	13
2	1259935	1334287	1	2	3	4	5	6	7	5	8	9	10	11	1	12	13	14	14
2	1334287	1337677	1	2	3	4	5	6	7	5	5	8	9	10	1	11	12	13	13
2	1337677	1415386	1	2	3	4	5	6	7	5	5	8	9	10	1	1	11	12	12
2	1415386	1428888	1	2	3	4	5	6	7	8	8	9	10	11	1	1	12	13	13
2	1428888	1435828	1	2	3	4	5	6	7	8	8	9	10	11	12	1	13	14	14
2	1435828	1436544	1	2	3	4	5	6	7	8	8	9	10	8	11	1	12	13	13
2	1436544	1533307	1	2	3	4	5	6	7	8	8	7	9	8	10	1	11	12	12
2	1533307	1540585	1	2	3	4	5	6	7	8	8	7	9	8	10	11	12	13	13
2	1540585	1558229	1	2	3	4	5	6	7	8	9	7	10	9	11	12	13	14	14
2	1558229	1620344	1	2	3	4	5	6	7	8	9	7	10	9	2	11	12	13	13
2	1620344	1621967	1	2	3	4	5	6	7	8	9	7	10	11	2	12	13	14	14
2	1621967	1640171	1	2	3	4	5	6	7	8	9	7	10	11	2	12	7	13	13
2	1640171	1648245	1	2	3	4	5	6	7	8	9	7	10	11	2	1	7	12	12
2	1648245	1666914	1	2	3	4	5	6	7	8	9	10	11	12	2	1	7	13	13
2	1666914	1672282	1	2	3	4	5	6	7	8	9	10	11	12	13	1	7	14	14
2	1672282	1676042	1	2	3	4	5	6	7	8	9	10	11	12	3	1	7	13	13
2	1676042	1686957	1	2	3	4	5	6	7	8	9	10	10	11	3	1	7	12	12
2	1686957	1704694	1	2	3	4	5	6	7	2	8	9	9	10	3	1	7	11	11
2	1704694	1716977	1	2	3	4	5	4	6	2	7	8	8	9	3	1	6	10	10
2	1716977	1810107	1	2	3	4	5	4	6	2	7	8	8	9	3	1	6	9	9
2	1810107	1841909	1	2	3	4	5	4	6	2	7	8	9	10	3	1	6	10	10
2	1841909	1914576	1	2	3	4	5	4	6	2	7	8	9	10	3	11	6	10	11
2	1914576	1926770	1	2	3	4	5	4	6	2	7	8	9	10	3	11	6	12	12
2	1926770	1951086	1	2	3	4	5	4	6	2	7	8	9	10	11	12	6	13	13
2	1951086	2033345	1	2	3	4	5	6	7	2	8	9	10	11	12	13	7	14	14
2	2033345	2098910	1	2	3	4	5	6	7	8	9	10	11	12	13	14	7	15	15
2	2098910	2223172	1	2	3	4	5	6	7	8	9	10	11	12	13	6	7	14	14
2	2223172	2245937	1	1	2	3	4	5	6	7	8	9	10	11	12	5	6	13	13
2	2245937	2356502	1	1	2	3	4	5	6	7	8	9	10	4	11	5	6	12	12
2	2356502	2488452	1	1	2	3	4	5	6	7	8	9	10	4	11	12	6	13	13
2	2488452	2501394	1	1	2	3	4	5	6	7	8	9	10	4	11	12	6	11	12
2	2501394	2647205	1	1	2	3	4	5	6	7	8	9	10	11	12	13	6	12	13
2	2647205	3062942	1	1	2	3	4	5	6	7	8	9	1	10	11	12	6	11	12
2	3062942	3096132	1	1	2	3	4	5	6	7	8	9	10	11	12	13	6	12	13
2	3096132	3101331	1	2	3	4	5	6	7	8	9	10	11	12	13	14	7	13	14
2	3101331	3122884	1	1	2	3	4	5	6	7	8	9	10	11	12	13	6	12	13
2	3122884	3240602	1	1	2	3	4	5	6	7	2	8	9	10	11	12	6	11	12
2	3240602	3265128	1	1	2	3	4	1	5	6	2	7	8	9	10	11	5	10	11
2	3265128	3409886	1	1	2	3	4	1	5	6	2	7	8	9	10	11	5	12	12
2	3409886	3411673	1	1	2	3	4	1	5	3	2	6	7	8	9	10	5	11	11
2	3411673	3544840	1	1	2	3	4	1	5	3	2	6	7	8	9	10	5	4	10
2	3544840	3547787	1	1	2	3	4	1	5	6	2	7	8	9	10	11	5	4	11
2	3547787	3580660	1	1	2	3	4	1	5	6	2	7	8	9	10	11	5	12	12
2	3580660	3587454	1	1	2	3	4	5	6	7	2	8	9	10	11	12	6	13	13
